Raggruppamento,Formato,Percentuale,Stato
pGI e Allegati,-,0%,0
Elaborati Progettuali,-,0%,0
Clash Detection,ifc,0%,0
Point Cloud,Nativo,0%,0
ACDat,Nativo + ifc,0%,0
Collegamenti Modello Nativo,Nativo,0%,0
Georeferenziazione e Orientamento,Nativo + ifc,0%,0
Griglie e Livelli,Nativo,0%,0
Integrità e Pulizia File,Nativo + ifc,0%,0
Verifica Informativa,ifc,0%,0
Verifica LOIN Geometrico,ifc,0%,0
Naming Convention,ifc,0%,0
Regole Modellazione,ifc,0%,0
Specifiche Impianti,Nativo,0%,0
Unità di misura,Nativo + ifc,0%,0
